lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,loan_approved,gender,modified_debt_to_income_ratio
549300ONBM4MGXXBTA44,36260,UT,49011.0,49011125801.0,C,0,2,205000.0,102.721,360,,2,195000.0,1,46.0,37,3,<25,No,1,6,6886,35.01,76800,69,1249,1814,36,Non-Hispanic White,False,Male,37.0
549300JYXTZDSPJEPI44,11244,CA,6059.0,6059042336.0,C,1,2,375000.0,75.0,360,,2,505000.0,1,66.0,49,3,25-34,No,1,1,4846,23.92,92700,155,1371,1603,28,Non-Hispanic White,True,Female,49.0
549300CY7WNAHKHYSJ73,39580,NC,37183.0,37183054014.0,C,1,2,195000.0,95.0,360,,2,205000.0,1,58.0,20%-<30%,3,25-34,No,1,1,13715,71.74,84300,64,3104,4101,14,Non-Hispanic White,True,Female,25.0
54930001NSTOD85LT125,38060,AZ,4013.0,4013618800.0,C,3,2,185000.0,92.347,360,,2,195000.0,1,35.0,48,1,25-34,No,1,2,5056,43.18,69100,52,372,1115,33,Non-Hispanic White,True,Female,48.0
549300JKR164SLNO6Y85,26420,TX,48339.0,48339694101.0,C,0,2,345000.0,85.0,360,,2,405000.0,1,118.0,30%-<36%,3,25-34,No,1,1,11334,34.77,75600,68,2751,4000,25,Non-Hispanic White,True,Male,33.0
549300DT53TVM4JSTM24,12060,GA,13067.0,13067030230.0,C,3,2,85000.0,43.478,360,,2,185000.0,1,23.0,40,9,>74,Yes,1,1,12981,43.48,74400,114,2946,3979,12,Non-Hispanic White,True,Male,40.0
20TVKH7M13MUBGE80C53,19804,MI,26163.0,26163532300.0,C,3,2,215000.0,90.0,360,,2,235000.0,1,70.0,30%-<36%,2,25-34,No,1,2,800,80.0,55500,181,241,425,76,Non-Hispanic White,True,Female,33.0
549300T7J3E2UGY5GL15,11180,IA,19169.0,19169010600.0,C,71,2,165000.0,95.0,360,,2,175000.0,1,54.0,39,3,55-64,No,1,1,5426,6.19,79800,90,1631,1914,42,Non-Hispanic White,True,Female,39.0
549300DPWFIO1S3DF358,17460,OH,39035.0,39035194100.0,C,0,2,315000.0,90.286,360,84,2,355000.0,1,156.0,20%-<30%,3,45-54,No,1,2,2288,9.57,70700,119,882,937,49,Non-Hispanic White,False,Male,25.0
549300JA1J2RX1MKI366,16700,SC,45035.0,45035010605.0,C,8,2,65000.0,31.193,360,,2,215000.0,1,44.0,20%-<30%,2,>74,Yes,1,1,8500,30.07,74500,93,1852,2710,32,Non-Hispanic White,True,Male,25.0
5493008VVXQIDO1EZ460,21660,OR,41039.0,41039000300.0,C,71,2,265000.0,80.0,360,,2,335000.0,1,112.0,43,2,25-34,No,1,1,2222,11.93,64100,128,716,943,45,Non-Hispanic White,True,Male,43.0
54930034MNPILHP25H80,99999,MO,29141.0,29141470400.0,C,3,2,65000.0,95.0,360,,2,65000.0,1,19.0,39,2,25-34,No,1,2,2129,3.62,53100,130,865,4252,32,Non-Hispanic White,True,Female,39.0
ZF85QS7OXKPBG52R7N18,31540,WI,55025.0,55025012001.0,NC,0,2,545000.0,88.581,360,84,2,615000.0,1,268.0,20%-<30%,1,35-44,No,1,1,8499,18.84,88600,116,2285,2666,21,Non-Hispanic White,True,Male,25.0
549300EFCZM6KD6B8K69,15804,NJ,34007.0,34007607300.0,C,3,2,105000.0,80.0,360,,2,135000.0,1,158.0,30%-<36%,3,55-64,No,2,1,4314,28.12,92400,77,1078,1369,54,Non-Hispanic White,True,Male,33.0
549300DT53TVM4JSTM24,35840,FL,12081.0,12081000805.0,C,1,2,195000.0,90.0,360,,2,215000.0,1,46.0,42,2,25-34,No,1,1,6265,36.57,70300,98,1667,2169,21,Non-Hispanic White,True,Male,42.0
2549008LK3474E9U2888,38900,OR,41067.0,41067030600.0,C,0,2,165000.0,69.75,360,,2,235000.0,1,61.0,20%-<30%,7,55-64,Yes,1,2,5359,16.96,81400,124,1433,1842,40,Non-Hispanic White,True,Male,25.0
549300PXL1KA5TOL2O82,35840,FL,12115.0,12115001401.0,C,0,2,455000.0,78.1,360,,2,585000.0,1,90.0,40,1,65-74,Yes,1,1,7958,12.53,70300,133,2821,3880,17,Non-Hispanic White,True,Male,40.0
549300GUS13Z72B6KD63,13460,OR,41017.0,41017000700.0,C,6,2,195000.0,95.0,360,,2,205000.0,1,40.0,42,7,55-64,No,1,1,7954,12.84,69600,106,2206,3294,21,Non-Hispanic White,True,Male,42.0
549300Y01XP7FO81MC08,36540,NE,31055.0,31055007470.0,C,6,2,135000.0,70.0,360,,2,195000.0,1,58.0,20%-<30%,1,25-34,No,1,1,6377,22.06,81300,130,1497,1633,13,Non-Hispanic White,True,Female,25.0
01J4SO3XTWZF4PP38209,32820,TN,47157.0,47157020820.0,NC,0,2,695000.0,80.0,360,120,2,865000.0,1,205.0,45,3,45-54,No,1,1,8600,18.14,63400,199,2594,2999,13,Non-Hispanic White,True,Male,45.0
2549008LK3474E9U2888,38900,OR,41005.0,41005021601.0,C,0,2,395000.0,100.0,360,,2,395000.0,1,110.0,36,7,25-34,No,1,5,5956,23.67,81400,74,1095,1834,31,Non-Hispanic White,True,Male,36.0
254900F9ZTVTX763V835,35614,NJ,34029.0,34029720206.0,C,71,2,205000.0,80.0,360,,2,255000.0,1,54.0,48,1,25-34,No,1,1,5928,13.17,78000,93,2972,3458,19,Non-Hispanic White,True,Female,48.0
549300HNJRM4GVCEUP46,31084,CA,6037.0,6037400602.0,C,3,1,435000.0,74.533,360,,2,585000.0,1,151.0,30%-<36%,7,35-44,No,1,2,4288,74.44,69300,93,658,1166,56,Non-Hispanic White,True,Male,33.0
549300DD4R4SYK5RAQ92,16974,IL,17031.0,17031010600.0,C,1,2,165000.0,80.0,360,,2,205000.0,1,75.0,30%-<36%,3,25-34,No,1,1,6558,58.37,82400,85,691,503,76,Non-Hispanic White,True,Female,33.0
5493001R92DY5DI1DI85,16974,IL,17031.0,17031805001.0,C,71,2,405000.0,85.0,360,,2,485000.0,1,155.0,45,7,35-44,No,1,2,4878,13.78,82400,141,1606,1686,56,Non-Hispanic White,True,Male,45.0
549300FGXN1K3HLB1R50,99999,NY,36105.0,36105952500.0,C,3,1,145000.0,97.0,360,,2,155000.0,1,43.0,49,1,25-34,No,1,2,2437,12.93,64300,115,796,1628,41,Non-Hispanic White,True,Male,49.0
549300TUQC6OYE8A0Y96,38900,OR,41067.0,41067030803.0,C,72,2,365000.0,93.52,360,,2,385000.0,1,160.0,20%-<30%,1,25-34,No,1,1,5031,20.67,81400,90,1431,1821,36,Non-Hispanic White,True,Male,25.0
549300HW662MN1WU8550,24860,SC,45045.0,45045003015.0,C,3,2,235000.0,97.0,360,,2,245000.0,1,93.0,38,2,25-34,No,1,2,8407,19.56,64200,168,2484,2845,14,Non-Hispanic Black,True,Male,38.0
549300D36J5CQX0I4F44,99999,MI,26005.0,26005030300.0,C,71,2,175000.0,74.04,360,,2,235000.0,1,73.0,20%-<30%,1,25-34,No,1,1,7485,8.1,58700,140,2408,2758,31,Non-Hispanic White,True,Male,25.0
549300CY7WNAHKHYSJ73,17820,CO,8041.0,8041002502.0,C,1,2,335000.0,95.0,360,,2,355000.0,1,101.0,38,3,35-44,No,1,1,4135,27.52,77900,93,721,907,47,Non-Hispanic White,True,Male,38.0
E57ODZWZ7FF32TWEFA76,35614,NY,36005.0,36005022403.0,C,8,2,75000.0,63.64,360,,2,115000.0,1,55.0,20%-<30%,1,35-44,No,2,5,3502,83.5,78000,59,101,74,76,Non-Hispanic White,True,Female,25.0
254900GHOV7VQ9CSKN31,29540,PA,42071.0,42071011804.0,C,71,2,275000.0,90.0,360,,2,305000.0,1,202.0,20%-<30%,3,25-34,No,1,2,8381,24.41,73800,116,2586,3135,39,Non-Hispanic White,True,Male,25.0
549300PC4MFWQBNVKG88,23104,TX,48439.0,48439111013.0,C,72,2,245000.0,95.0,360,,2,265000.0,1,126.0,30%-<36%,9,35-44,No,1,1,8365,56.74,75000,102,2012,2707,12,Non-Hispanic Black,True,Male,33.0
5493001PXRJMPLXPG540,26820,ID,16019.0,16019971302.0,C,1,1,275000.0,80.0,360,,2,345000.0,1,131.0,20%-<30%,3,45-54,No,1,1,4856,17.94,62100,132,1369,1863,35,Non-Hispanic White,True,Male,25.0
